Transaction ID,Date,Customer ID,Age,Quantity,Price per Unit,Total Amount,High Spender,Month,Day of Week,Avg Price per Item,Gender_Male,Product Category_Clothing,Product Category_Electronics,Age Group_25-40,Age Group_40-60,Age Group_60+,Gender_Num,AgeGroup_Num,ProductCategory_Num
1,2023-11-24,CUST001,34,3,50,150,0,11,4,50.0,True,False,False,True,False,False,0,2,3
2,2023-02-27,CUST002,26,2,500,1000,1,2,0,500.0,False,True,False,True,False,False,1,2,1
3,2023-01-13,CUST003,50,1,30,30,0,1,4,30.0,True,False,True,False,True,False,0,3,2
4,2023-05-21,CUST004,37,1,500,500,0,5,6,500.0,True,True,False,True,False,False,0,2,1
5,2023-05-06,CUST005,30,2,50,100,0,5,5,50.0,True,False,False,True,False,False,0,2,3
6,2023-04-25,CUST006,45,1,30,30,0,4,1,30.0,False,False,False,False,True,False,1,3,3
7,2023-03-13,CUST007,46,2,25,50,0,3,0,25.0,True,True,False,False,True,False,0,3,1
8,2023-02-22,CUST008,30,4,25,100,0,2,2,25.0,True,False,True,True,False,False,0,2,2
9,2023-12-13,CUST009,63,2,300,600,0,12,2,300.0,True,False,True,False,False,True,0,4,2
10,2023-10-07,CUST010,52,4,50,200,0,10,5,50.0,False,True,False,False,True,False,1,3,1
11,2023-02-14,CUST011,23,2,50,100,0,2,1,50.0,True,True,False,False,False,False,0,1,1
12,2023-10-30,CUST012,35,3,25,75,0,10,0,25.0,True,False,False,True,False,False,0,2,3
13,2023-08-05,CUST013,22,3,500,1500,1,8,5,500.0,True,False,True,False,False,False,0,1,2
14,2023-01-17,CUST014,64,4,30,120,0,1,1,30.0,True,True,False,False,False,True,0,4,1
15,2023-01-16,CUST015,42,4,500,2000,1,1,0,500.0,False,False,True,False,True,False,1,3,2
16,2023-02-17,CUST016,19,3,500,1500,1,2,4,500.0,True,True,False,False,False,False,0,1,1
17,2023-04-22,CUST017,27,4,25,100,0,4,5,25.0,False,True,False,True,False,False,1,2,1
18,2023-04-30,CUST018,47,2,25,50,0,4,6,25.0,False,False,True,False,True,False,1,3,2
19,2023-09-16,CUST019,62,2,25,50,0,9,5,25.0,False,True,False,False,False,True,1,4,1
20,2023-11-05,CUST020,22,3,300,900,1,11,6,300.0,True,True,False,False,False,False,0,1,1
21,2023-01-14,CUST021,50,1,500,500,0,1,5,500.0,False,False,False,False,True,False,1,3,3
22,2023-10-15,CUST022,18,2,50,100,0,10,6,50.0,True,True,False,False,False,False,0,1,1
23,2023-04-12,CUST023,35,4,30,120,0,4,2,30.0,False,True,False,True,False,False,1,2,1
24,2023-11-29,CUST024,49,1,300,300,0,11,2,300.0,False,True,False,False,True,False,1,3,1
25,2023-12-26,CUST025,64,1,50,50,0,12,1,50.0,False,False,False,False,False,True,1,4,3
26,2023-10-07,CUST026,28,2,500,1000,1,10,5,500.0,False,False,True,True,False,False,1,2,2
27,2023-08-03,CUST027,38,2,25,50,0,8,3,25.0,False,False,False,True,False,False,1,2,3
28,2023-04-23,CUST028,43,1,500,500,0,4,6,500.0,False,False,False,False,True,False,1,3,3
29,2023-08-18,CUST029,42,1,30,30,0,8,4,30.0,False,False,True,False,True,False,1,3,2
30,2023-10-29,CUST030,39,3,300,900,1,10,6,300.0,False,False,False,True,False,False,1,2,3
31,2023-05-23,CUST031,44,4,300,1200,1,5,1,300.0,True,False,True,False,True,False,0,3,2
32,2023-01-04,CUST032,30,3,30,90,0,1,2,30.0,True,False,False,True,False,False,0,2,3
33,2023-03-23,CUST033,50,2,50,100,0,3,3,50.0,False,False,True,False,True,False,1,3,2
34,2023-12-24,CUST034,51,3,50,150,0,12,6,50.0,False,True,False,False,True,False,1,3,1
35,2023-08-05,CUST035,58,3,300,900,1,8,5,300.0,False,False,False,False,True,False,1,3,3
36,2023-06-24,CUST036,52,3,300,900,1,6,5,300.0,True,False,False,False,True,False,0,3,3
37,2023-05-23,CUST037,18,3,25,75,0,5,1,25.0,False,False,False,False,False,False,1,1,3
38,2023-03-21,CUST038,38,4,50,200,0,3,1,50.0,True,False,False,True,False,False,0,2,3
39,2023-04-21,CUST039,23,4,30,120,0,4,4,30.0,True,True,False,False,False,False,0,1,1
40,2023-06-22,CUST040,45,1,50,50,0,6,3,50.0,True,False,False,False,True,False,0,3,3
41,2023-02-22,CUST041,34,2,25,50,0,2,2,25.0,True,True,False,True,False,False,0,2,1
42,2023-02-17,CUST042,22,3,300,900,1,2,4,300.0,True,True,False,False,False,False,0,1,1
43,2023-07-14,CUST043,48,1,300,300,0,7,4,300.0,False,True,False,False,True,False,1,3,1
44,2023-02-19,CUST044,22,1,25,25,0,2,6,25.0,False,True,False,False,False,False,1,1,1
45,2023-07-03,CUST045,55,1,30,30,0,7,0,30.0,False,False,True,False,True,False,1,3,2
46,2023-06-26,CUST046,20,4,300,1200,1,6,0,300.0,False,False,True,False,False,False,1,1,2
47,2023-11-06,CUST047,40,3,500,1500,1,11,0,500.0,False,False,False,False,True,False,1,3,3
48,2023-05-16,CUST048,54,3,300,900,1,5,1,300.0,True,False,True,False,True,False,0,3,2
49,2023-01-23,CUST049,54,2,500,1000,1,1,0,500.0,False,False,True,False,True,False,1,3,2
50,2023-08-24,CUST050,27,3,25,75,0,8,3,25.0,False,False,False,True,False,False,1,2,3
51,2023-10-02,CUST051,27,3,25,75,0,10,0,25.0,True,False,False,True,False,False,0,2,3
52,2023-03-05,CUST052,36,1,300,300,0,3,6,300.0,False,False,False,True,False,False,1,2,3
53,2023-07-13,CUST053,34,2,50,100,0,7,3,50.0,True,False,True,True,False,False,0,2,2
54,2023-02-10,CUST054,38,3,500,1500,1,2,4,500.0,False,False,True,True,False,False,1,2,2
55,2023-10-10,CUST055,31,4,30,120,0,10,1,30.0,True,False,False,True,False,False,0,2,3
56,2023-05-31,CUST056,26,3,300,900,1,5,2,300.0,False,True,False,True,False,False,1,2,1
57,2023-11-18,CUST057,63,1,30,30,0,11,5,30.0,False,False,False,False,False,True,1,4,3
58,2023-11-13,CUST058,18,4,300,1200,1,11,0,300.0,True,True,False,False,False,False,0,1,1
59,2023-07-05,CUST059,62,1,50,50,0,7,2,50.0,True,True,False,False,False,True,0,4,1
60,2023-10-23,CUST060,30,3,50,150,0,10,0,50.0,True,False,False,True,False,False,0,2,3
61,2023-04-09,CUST061,21,4,50,200,0,4,6,50.0,True,False,False,False,False,False,0,1,3
62,2023-12-27,CUST062,18,2,50,100,0,12,2,50.0,True,False,False,False,False,False,0,1,3
63,2023-02-05,CUST063,57,2,25,50,0,2,6,25.0,True,False,True,False,True,False,0,3,2
64,2023-01-24,CUST064,49,4,25,100,0,1,1,25.0,True,True,False,False,True,False,0,3,1
65,2023-12-05,CUST065,51,4,500,2000,1,12,1,500.0,True,False,True,False,True,False,0,3,2
66,2023-04-27,CUST066,45,1,30,30,0,4,3,30.0,False,False,True,False,True,False,1,3,2
67,2023-05-29,CUST067,48,4,300,1200,1,5,0,300.0,False,False,False,False,True,False,1,3,3
68,2023-02-10,CUST068,25,1,300,300,0,2,4,300.0,True,False,True,True,False,False,0,2,2
69,2023-04-30,CUST069,56,3,25,75,0,4,6,25.0,False,False,False,False,True,False,1,3,3
70,2023-02-21,CUST070,43,1,300,300,0,2,1,300.0,False,True,False,False,True,False,1,3,1
71,2023-07-14,CUST071,51,4,25,100,0,7,4,25.0,False,False,False,False,True,False,1,3,3
72,2023-05-23,CUST072,20,4,500,2000,1,5,1,500.0,False,False,True,False,False,False,1,1,2
73,2023-08-21,CUST073,29,3,30,90,0,8,0,30.0,True,False,True,True,False,False,0,2,2
74,2023-11-22,CUST074,18,4,500,2000,1,11,2,500.0,False,False,False,False,False,False,1,1,3
